never,rarely,sometimes,frequently,always,mask_score,Location
0.08199999999999999,0.052000000000000005,0.11599999999999999,0.239,0.511,3.045,Douglas_OR
0.008,0.003,0.049,0.332,0.607,3.525,Gilliam_OR
0.013999999999999999,0.062,0.132,0.12,0.6709999999999999,3.3699999999999997,Grant_OR
0.032,0.099,0.114,0.157,0.598,3.19,Harney_OR
0.03,0.071,0.127,0.162,0.61,3.251,Hood River_OR
0.044000000000000004,0.077,0.075,0.138,0.665,3.301,Jackson_OR
0.018000000000000002,0.062,0.012,0.25,0.657,3.464,Jefferson_OR
0.027999999999999997,0.055999999999999994,0.07200000000000001,0.192,0.652,3.3840000000000003,Josephine_OR
0.09699999999999999,0.031,0.062,0.22699999999999998,0.583,3.1679999999999997,Klamath_OR
0.05,0.017,0.127,0.247,0.5579999999999999,3.2439999999999998,Lake_OR
0.031,0.036000000000000004,0.077,0.13699999999999998,0.7190000000000001,3.4770000000000003,Lane_OR
0.001,0.012,0.047,0.131,0.81,3.7390000000000003,Lincoln_OR
0.057,0.025,0.096,0.159,0.664,3.35,Linn_OR
0.071,0.20600000000000002,0.213,0.20600000000000002,0.305,2.4699999999999998,Malheur_OR
0.028999999999999998,0.013000000000000001,0.053,0.196,0.71,3.5469999999999997,Marion_OR
0.026000000000000002,0.004,0.083,0.19699999999999998,0.69,3.521,Morrow_OR
0.013000000000000001,0.016,0.054000000000000006,0.17800000000000002,0.738,3.61,Multnomah_OR
0.013000000000000001,0.022000000000000002,0.078,0.242,0.645,3.484,Polk_OR
0.008,0.013999999999999999,0.046,0.271,0.66,3.559,Sherman_OR
0.125,0.04,0.092,0.163,0.581,3.037,Tillamook_OR
0.043,0.01,0.081,0.155,0.71,3.477,Umatilla_OR
0.034,0.08800000000000001,0.086,0.18899999999999997,0.603,3.239,Union_OR
0.040999999999999995,0.083,0.146,0.22899999999999998,0.501,3.066,Wallowa_OR
0.019,0.034,0.069,0.19699999999999998,0.6809999999999999,3.4869999999999997,Wasco_OR
0.006,0.009000000000000001,0.059000000000000004,0.16899999999999998,0.7559999999999999,3.6579999999999995,Washington_OR
0.023,0.07,0.049,0.23199999999999998,0.626,3.368,Wheeler_OR
0.021,0.035,0.07200000000000001,0.14300000000000002,0.7290000000000001,3.5240000000000005,Yamhill_OR
0.077,0.051,0.07200000000000001,0.076,0.7240000000000001,3.3190000000000004,Adams_WA
0.013999999999999999,0.028999999999999998,0.115,0.32,0.522,3.307,Asotin_WA
0.084,0.011000000000000001,0.064,0.08,0.7609999999999999,3.4229999999999996,Benton_WA
0.062,0.048,0.028999999999999998,0.297,0.564,3.2529999999999997,Chelan_WA
0.001,0.0,0.027999999999999997,0.225,0.746,3.715,Clallam_WA
0.02,0.021,0.048,0.17,0.741,3.591,Clark_WA
0.08,0.031,0.079,0.223,0.586,3.202,Columbia_WA
0.040999999999999995,0.02,0.098,0.21600000000000003,0.625,3.364,Cowlitz_WA
0.067,0.047,0.042,0.271,0.573,3.2359999999999998,Douglas_WA
0.08199999999999999,0.066,0.08199999999999999,0.204,0.565,3.102,Ferry_WA
0.106,0.013000000000000001,0.059000000000000004,0.069,0.753,3.35,Franklin_WA
0.031,0.028999999999999998,0.085,0.292,0.563,3.327,Garfield_WA
0.032,0.052000000000000005,0.10800000000000001,0.146,0.6609999999999999,3.3499999999999996,Grant_WA
0.03,0.009000000000000001,0.087,0.213,0.662,3.47,Grays Harbor_WA
0.015,0.009000000000000001,0.066,0.15,0.759,3.627,Island_WA
0.011000000000000001,0.0,0.064,0.171,0.754,3.657,Jefferson_WA
0.016,0.02,0.05,0.191,0.7240000000000001,3.5890000000000004,King_WA
0.024,0.003,0.051,0.136,0.7859999999999999,3.6569999999999996,Kitsap_WA
0.032,0.084,0.033,0.179,0.672,3.375,Kittitas_WA
0.038,0.028999999999999998,0.113,0.28800000000000003,0.532,3.2470000000000003,Klickitat_WA
0.033,0.11199999999999999,0.128,0.111,0.616,3.165,Lewis_WA
0.017,0.086,0.023,0.10800000000000001,0.765,3.516,Lincoln_WA
0.011000000000000001,0.024,0.091,0.152,0.721,3.546,Mason_WA
0.042,0.066,0.075,0.19899999999999998,0.617,3.2809999999999997,Okanogan_WA
0.08199999999999999,0.016,0.128,0.063,0.7120000000000001,3.309,Pacific_WA
0.027000000000000003,0.122,0.052000000000000005,0.212,0.5870000000000001,3.2100000000000004,Pend Oreille_WA
0.027999999999999997,0.057,0.10300000000000001,0.20600000000000002,0.606,3.305,Pierce_WA
0.015,0.004,0.021,0.22899999999999998,0.73,3.653,San Juan_WA
0.035,0.09699999999999999,0.037000000000000005,0.177,0.653,3.314,Skagit_WA
0.019,0.048,0.092,0.08,0.76,3.512,Skamania_WA
0.017,0.013999999999999999,0.055999999999999994,0.191,0.721,3.5829999999999997,Snohomish_WA
0.033,0.057,0.08,0.151,0.679,3.386,Spokane_WA
0.05,0.039,0.069,0.257,0.585,3.288,Stevens_WA
0.022000000000000002,0.051,0.109,0.132,0.685,3.4050000000000002,Thurston_WA
0.045,0.057,0.079,0.161,0.6579999999999999,3.3299999999999996,Wahkiakum_WA
0.083,0.022000000000000002,0.061,0.193,0.6409999999999999,3.2869999999999995,Walla Walla_WA
0.042,0.027999999999999997,0.061,0.122,0.747,3.504,Whatcom_WA
0.002,0.009000000000000001,0.049,0.31,0.629,3.553,Whitman_WA
0.012,0.035,0.069,0.14300000000000002,0.74,3.5620000000000003,Yakima_WA
