,never,rarely,sometimes,frequently,always,County,State,mask_score
2224,0.027999999999999997,0.055999999999999994,0.07200000000000001,0.192,0.652,Josephine,OR,3.3840000000000003
2225,0.09699999999999999,0.031,0.062,0.22699999999999998,0.583,Klamath,OR,3.1679999999999997
2226,0.05,0.017,0.127,0.247,0.5579999999999999,Lake,OR,3.2439999999999998
2227,0.031,0.036000000000000004,0.077,0.13699999999999998,0.7190000000000001,Lane,OR,3.4770000000000003
2228,0.001,0.012,0.047,0.131,0.81,Lincoln,OR,3.7390000000000003
2229,0.057,0.025,0.096,0.159,0.664,Linn,OR,3.35
2230,0.071,0.20600000000000002,0.213,0.20600000000000002,0.305,Malheur,OR,2.4699999999999998
2231,0.028999999999999998,0.013000000000000001,0.053,0.196,0.71,Marion,OR,3.5469999999999997
2232,0.026000000000000002,0.004,0.083,0.19699999999999998,0.69,Morrow,OR,3.521
2233,0.013000000000000001,0.016,0.054000000000000006,0.17800000000000002,0.738,Multnomah,OR,3.61
2234,0.013000000000000001,0.022000000000000002,0.078,0.242,0.645,Polk,OR,3.484
2235,0.008,0.013999999999999999,0.046,0.271,0.66,Sherman,OR,3.559
2236,0.125,0.04,0.092,0.163,0.581,Tillamook,OR,3.037
2237,0.043,0.01,0.081,0.155,0.71,Umatilla,OR,3.477
2238,0.034,0.08800000000000001,0.086,0.18899999999999997,0.603,Union,OR,3.239
2239,0.040999999999999995,0.083,0.146,0.22899999999999998,0.501,Wallowa,OR,3.066
2240,0.019,0.034,0.069,0.19699999999999998,0.6809999999999999,Wasco,OR,3.4869999999999997
2241,0.006,0.009000000000000001,0.059000000000000004,0.16899999999999998,0.7559999999999999,Washington,OR,3.6579999999999995
2242,0.023,0.07,0.049,0.23199999999999998,0.626,Wheeler,OR,3.368
2243,0.021,0.035,0.07200000000000001,0.14300000000000002,0.7290000000000001,Yamhill,OR,3.5240000000000005
2953,0.077,0.051,0.07200000000000001,0.076,0.7240000000000001,Adams,WA,3.3190000000000004
2954,0.013999999999999999,0.028999999999999998,0.115,0.32,0.522,Asotin,WA,3.307
2955,0.084,0.011000000000000001,0.064,0.08,0.7609999999999999,Benton,WA,3.4229999999999996
2956,0.062,0.048,0.028999999999999998,0.297,0.564,Chelan,WA,3.2529999999999997
2957,0.001,0.0,0.027999999999999997,0.225,0.746,Clallam,WA,3.715
2958,0.02,0.021,0.048,0.17,0.741,Clark,WA,3.591
2959,0.08,0.031,0.079,0.223,0.586,Columbia,WA,3.202
2960,0.040999999999999995,0.02,0.098,0.21600000000000003,0.625,Cowlitz,WA,3.364
2961,0.067,0.047,0.042,0.271,0.573,Douglas,WA,3.2359999999999998
2962,0.08199999999999999,0.066,0.08199999999999999,0.204,0.565,Ferry,WA,3.102
2963,0.106,0.013000000000000001,0.059000000000000004,0.069,0.753,Franklin,WA,3.35
2964,0.031,0.028999999999999998,0.085,0.292,0.563,Garfield,WA,3.327
2965,0.032,0.052000000000000005,0.10800000000000001,0.146,0.6609999999999999,Grant,WA,3.3499999999999996
2966,0.03,0.009000000000000001,0.087,0.213,0.662,Grays Harbor,WA,3.47
2967,0.015,0.009000000000000001,0.066,0.15,0.759,Island,WA,3.627
2968,0.011000000000000001,0.0,0.064,0.171,0.754,Jefferson,WA,3.657
2969,0.016,0.02,0.05,0.191,0.7240000000000001,King,WA,3.5890000000000004
2970,0.024,0.003,0.051,0.136,0.7859999999999999,Kitsap,WA,3.6569999999999996
2971,0.032,0.084,0.033,0.179,0.672,Kittitas,WA,3.375
2972,0.038,0.028999999999999998,0.113,0.28800000000000003,0.532,Klickitat,WA,3.2470000000000003
2973,0.033,0.11199999999999999,0.128,0.111,0.616,Lewis,WA,3.165
2974,0.017,0.086,0.023,0.10800000000000001,0.765,Lincoln,WA,3.516
2975,0.011000000000000001,0.024,0.091,0.152,0.721,Mason,WA,3.546
2976,0.042,0.066,0.075,0.19899999999999998,0.617,Okanogan,WA,3.2809999999999997
2977,0.08199999999999999,0.016,0.128,0.063,0.7120000000000001,Pacific,WA,3.309
2978,0.027000000000000003,0.122,0.052000000000000005,0.212,0.5870000000000001,Pend Oreille,WA,3.2100000000000004
2979,0.027999999999999997,0.057,0.10300000000000001,0.20600000000000002,0.606,Pierce,WA,3.305
2980,0.015,0.004,0.021,0.22899999999999998,0.73,San Juan,WA,3.653
2981,0.035,0.09699999999999999,0.037000000000000005,0.177,0.653,Skagit,WA,3.314
2982,0.019,0.048,0.092,0.08,0.76,Skamania,WA,3.512
2983,0.017,0.013999999999999999,0.055999999999999994,0.191,0.721,Snohomish,WA,3.5829999999999997
2984,0.033,0.057,0.08,0.151,0.679,Spokane,WA,3.386
2985,0.05,0.039,0.069,0.257,0.585,Stevens,WA,3.288
2986,0.022000000000000002,0.051,0.109,0.132,0.685,Thurston,WA,3.4050000000000002
2987,0.045,0.057,0.079,0.161,0.6579999999999999,Wahkiakum,WA,3.3299999999999996
2988,0.083,0.022000000000000002,0.061,0.193,0.6409999999999999,Walla Walla,WA,3.2869999999999995
2989,0.042,0.027999999999999997,0.061,0.122,0.747,Whatcom,WA,3.504
2990,0.002,0.009000000000000001,0.049,0.31,0.629,Whitman,WA,3.553
2991,0.012,0.035,0.069,0.14300000000000002,0.74,Yakima,WA,3.5620000000000003
